Original Algorithm with US Currency
Experiment,Runtime(microseconds)
10,7
50,7
100,13
500,93
1000,168
1500,261
2000,362
3000,611
5000,1029

Original Algorithm with Wizard Currency
Experiment,Runtime(microseconds)
10,6
50,4
100,7
500,30
1000,72
1500,114
2000,151
3000,211
5000,358

Custom Algorithm with US Currency
Experiment,Runtime(microseconds)
10,138
25,572
50,3685
100,24220
200,407924
500,28158963

Custom Algorithm with Wizard Currency
Experiment,Runtime(microseconds)
10,31
25,47
50,143
100,367
200,1303
500,11332
